Renter	Instrument	Months
Acconci	Trumpet	2
Allen	Drums	2
Arden	Clarinet	3
Aserty	Trombone	3
Atkins	Saxophone	3
Battenberg	Drums	1
Bindner	Saxophone	2
Blum	Trumpet	4
Chico	Clarinet	3
Cox	Trombone	1
DiGrigoro	Drums	4
Dill	Clarinet	2
Fleming	Clarinet	3
Gilhooly	Drums	1
Greer	Saxophone	3
Guys	Trumpet	4
Hofmann	Trombone	2
Ibe	Drums	2
Ingraham	Clarinet	1
Lundquist	Clarinet	1
McGraw	Trumpet	1
McIver	Trumpet	3
Mechler	Clarinet	2
Meglech	Trombone	1
Meetz	Trumpet	3
Mellon	Clarinet	2
Metz	Saxophone	1
Mogan	Drums	4
Morgan	Clarinet	4
Novarre	Clarinet	2
Reed	Trombone	4
Roman	Drums	4
Schenck	Drums	3
Scherzel	Trumpet	1
Senier	Saxophone	3
Shenal	Saxophone	2
Swartz	Trumpet	4
Turrell	Clarinet	3
Udinotti	Clarinet	3
Werner	Trombone	3
Zischke	Saxophone	3
